id,polarity,score
809450831531704321,Neutral,0.0
809451084565663744,Neutral,0.0
809451370919133188,Positive,0.7
809451511948410880,Neutral,0.0
809451996596019200,Neutral,0.0
809453176957050880,Neutral,0.0
809454424397582336,Neutral,0.0
809454646213410816,Neutral,0.0
809454687908982784,Neutral,0.0
809454869472022528,Neutral,0.0
809455087034761217,Neutral,0.0
809455155620040704,Positive,0.25
809455451377115137,Neutral,0.0
809455520734068736,Neutral,0.0
809455573582352384,Positive,1.5
809455714145955840,Neutral,0.0
809455937404571649,Neutral,0.0
809456193240498176,Neutral,0.0
809456221971431424,Neutral,0.0
809456564226707456,Neutral,0.0
809456819752026112,Positive,0.125
809456949599371264,Negative,-0.5
809458079326670848,Neutral,0.0
809458652348227584,Positive,0.875
809458872356401153,Neutral,0.0
809459804108242944,Neutral,0.0
809460021222379520,Positive,0.25
809460645712240641,Neutral,0.0
809461224811282432,Neutral,0.0
809461322924441600,Positive,0.7
809464230625873920,Positive,0.875
809464465095852032,Neutral,0.0
809465359128375296,Neutral,0.0
809465675379081220,Neutral,0.0
809466402021273602,Neutral,0.0
809466483738902528,Positive,0.625
809467590561120256,Positive,0.875
809468022096162816,Neutral,0.0
809468629762772992,Negative,-0.125
809468770486022144,Neutral,0.0
809468903042596864,Negative,-0.125
809468906830262273,Negative,-0.125
809469193854787586,Negative,-0.125
809469353917751296,Negative,-0.125
809469429654253568,Negative,-0.125
809469437757812736,Negative,-0.125
809469489695834112,Negative,-0.125
809469528044400640,Neutral,0.0
809469795716440064,Positive,0.625
809469804969127936,Negative,-0.125
809470011089817600,Negative,-0.125
809470045843845121,Negative,-0.375
809470867813994496,Negative,-0.125
809472033461370880,Negative,-0.125
809472475457261569,Negative,-0.125
809472631317655552,Neutral,0.0
809472859013869568,Positive,0.25
809473007894822913,Positive,0.875
809473779931971585,Neutral,0.0
809474196069818368,Negative,-0.125
809474565248270336,Negative,-0.125
809474756596600833,Negative,-0.125
809475175230111744,Positive,0.625
809475648410492928,Neutral,0.0
809475750558658560,Negative,-0.375
809475854308872192,Negative,-0.375
809477478041403392,Negative,-0.125
809477579564609538,Negative,-0.125
809477839913439233,Positive,0.875
809478762165313537,Negative,-0.375
809479909001269249,Positive,0.25
809479954492772352,Neutral,0.0
809480627846258689,Positive,0.25
809480655012843520,Neutral,0.0
809481113924055040,Negative,-0.125
809481587591184389,Positive,0.125
809481921059258368,Negative,-0.375
809482257920655361,Negative,-0.375
809482445372461056,Negative,-0.125
809482479266570240,Negative,-0.375
809482582303744000,Negative,-0.375
809482779654291457,Neutral,0.0
809482988941611009,Negative,-0.375
809483321466089472,Negative,-0.375
809483396988674049,Negative,-0.125
809484106551717888,Negative,-0.375
809484514565226496,Negative,-0.375
809485089428094976,Negative,-0.125
809485298602283012,Negative,-0.125
